run_id,scenario,red_type,blue_type,seed,step,entity_id,entity_type,pos_true_x,pos_true_y,pos_rep_x,pos_rep_y,gps_err,gps_err_corr,snr,link_up,red_owned,reward_step_mean,atk_jam,atk_gps,atk_exploit,det_jam,det_gps,isolated
gallery_red_05_SeizeControl,gallery,forced:SeizeControl,passive,0,0,0,uav,35.48,20.79,35.48,20.79,0.0,0.0,17.75,1,0,-1.0,0,0,0,0,0,0
gallery_red_05_SeizeControl,gallery,forced:SeizeControl,passive,0,0,1,uav,11.64,10.66,11.64,10.66,0.0,0.0,22.04,1,0,-1.0,0,0,0,0,0,0
gallery_red_05_SeizeControl,gallery,forced:SeizeControl,passive,0,0,2,uav,42.53,46.51,42.53,46.51,0.0,0.0,19.9,1,0,-1.0,0,0,0,0,0,0
gallery_red_05_SeizeControl,gallery,forced:SeizeControl,passive,0,0,3,uav,34.27,39.18,34.27,39.18,0.0,0.0,19.19,1,0,-1.0,0,0,0,0,0,0
gallery_red_05_SeizeControl,gallery,forced:SeizeControl,passive,0,0,4,uav,31.74,47.4,31.74,47.4,0.0,0.0,21.12,1,1,-1.0,0,0,1,0,0,0
gallery_red_05_SeizeControl,gallery,forced:SeizeControl,passive,0,0,5,uav,42.63,10.11,42.63,10.11,0.0,0.0,21.59,1,0,-1.0,0,0,0,0,0,0
gallery_red_05_SeizeControl,gallery,forced:SeizeControl,passive,0,0,6,ugv,47.87,24.51,47.87,24.51,0.0,0.0,21.15,1,0,-1.0,0,0,0,0,0,0
gallery_red_05_SeizeControl,gallery,forced:SeizeControl,passive,0,0,7,ugv,6.68,25.54,6.68,25.54,0.0,0.0,23.0,1,0,-1.0,0,0,0,0,0,0
gallery_red_05_SeizeControl,gallery,forced:SeizeControl,passive,0,1,0,uav,38.38,21.12,38.38,21.12,0.0,0.0,21.62,1,0,-1.0,0,0,0,0,0,0
gallery_red_05_SeizeControl,gallery,forced:SeizeControl,passive,0,1,1,uav,10.04,10.04,10.04,10.04,0.0,0.0,21.93,1,0,-1.0,0,0,0,0,0,0
gallery_red_05_SeizeControl,gallery,forced:SeizeControl,passive,0,1,2,uav,38.76,43.5,38.76,43.5,0.0,0.0,19.19,1,0,-1.0,0,0,0,0,0,0
gallery_red_05_SeizeControl,gallery,forced:SeizeControl,passive,0,1,3,uav,35.63,40.36,35.63,40.36,0.0,0.0,20.16,1,0,-1.0,0,0,0,0,0,0
gallery_red_05_SeizeControl,gallery,forced:SeizeControl,passive,0,1,4,uav,32.67,46.47,32.67,46.47,0.0,0.0,20.84,1,1,-1.0,0,0,1,0,0,0
gallery_red_05_SeizeControl,gallery,forced:SeizeControl,passive,0,1,5,uav,46.61,13.96,46.61,13.96,0.0,0.0,19.97,1,0,-1.0,0,0,0,0,0,0
gallery_red_05_SeizeControl,gallery,forced:SeizeControl,passive,0,1,6,ugv,48.43,25.58,48.43,25.58,0.0,0.0,20.45,1,0,-1.0,0,0,0,0,0,0
gallery_red_05_SeizeControl,gallery,forced:SeizeControl,passive,0,1,7,ugv,7.13,26.16,7.13,26.16,0.0,0.0,20.64,1,0,-1.0,0,0,0,0,0,0
gallery_red_05_SeizeControl,gallery,forced:SeizeControl,passive,0,2,0,uav,40.68,21.33,40.68,21.33,0.0,0.0,21.27,1,0,-1.0,0,0,0,0,0,0
gallery_red_05_SeizeControl,gallery,forced:SeizeControl,passive,0,2,1,uav,8.34,9.75,8.34,9.75,0.0,0.0,19.85,1,0,-1.0,0,0,0,0,0,0
gallery_red_05_SeizeControl,gallery,forced:SeizeControl,passive,0,2,2,uav,35.11,40.71,35.11,40.71,0.0,0.0,19.48,1,0,-1.0,0,0,0,0,0,0
gallery_red_05_SeizeControl,gallery,forced:SeizeControl,passive,0,2,3,uav,36.6,41.46,36.6,41.46,0.0,0.0,18.76,1,1,-1.0,0,0,1,0,0,0
gallery_red_05_SeizeControl,gallery,forced:SeizeControl,passive,0,2,4,uav,34.06,46.44,34.06,46.44,0.0,0.0,18.66,1,1,-1.0,0,0,1,0,0,0
gallery_red_05_SeizeControl,gallery,forced:SeizeControl,passive,0,2,5,uav,49.83,18.71,49.83,18.71,0.0,0.0,21.76,1,0,-1.0,0,0,0,0,0,0
gallery_red_05_SeizeControl,gallery,forced:SeizeControl,passive,0,2,6,ugv,48.98,24.85,48.98,24.85,0.0,0.0,19.87,1,0,-1.0,0,0,0,0,0,0
gallery_red_05_SeizeControl,gallery,forced:SeizeControl,passive,0,2,7,ugv,7.58,26.09,7.58,26.09,0.0,0.0,21.18,1,0,-1.0,0,0,0,0,0,0
gallery_red_05_SeizeControl,gallery,forced:SeizeControl,passive,0,3,0,uav,43.14,21.35,43.14,21.35,0.0,0.0,18.05,1,0,-3.0,0,0,0,0,0,0
gallery_red_05_SeizeControl,gallery,forced:SeizeControl,passive,0,3,1,uav,7.52,10.63,7.52,10.63,0.0,0.0,17.09,1,0,-3.0,0,0,0,0,0,0
gallery_red_05_SeizeControl,gallery,forced:SeizeControl,passive,0,3,2,uav,32.55,38.71,32.55,38.71,0.0,0.0,18.43,1,0,-3.0,0,0,0,0,0,0
